State,State total production expenses including operator dwellings($1000),Share of U.S. total production expenses including operator dwellings(Percent)
California,41500870,11.6
Iowa,27209990,7.6
Texas,20621283,5.8
Nebraska,19069025,5.3
Minnesota,17005714,4.8
Illinois,16419638,4.6
Kansas,15722378,4.4
North Carolina,11100608,3.1
Wisconsin,10592998,3
Indiana,10236374,2.9
Missouri,9698942,2.7
Washington,9396997,2.6
Ohio,8890136,2.5
South Dakota,8885683,2.5
Arkansas,8840049,2.5
North Dakota,8042514,2.2
Colorado,7945884,2.2
Georgia,7892733,2.2
Florida,7750149,2.2
Michigan,7720040,2.2
Idaho,7230424,2
Pennsylvania,6706133,1.9
Oklahoma,6561670,1.8
Kentucky,5544272,1.5
Oregon,5292777,1.5
Alabama,5148675,1.4
Mississippi,5048704,1.4
New York,4659799,1.3
Arizona,4130981,1.2
Tennessee,4084311,1.1
Virginia,3950852,1.1
Montana,3921654,1.1
Louisiana,2925535,0.8
New Mexico,2767942,0.8
South Carolina,2581777,0.7
Maryland,2262959,0.6
Utah,1716675,0.5
Wyoming,1652395,0.5
Delaware,1075074,0.3
New Jersey,1029278,0.3
West Virginia,859269,0.2
Vermont,702406,0.2
Nevada,701810,0.2
Hawaii,633961,0.2
Maine,615102,0.2
Connecticut,556257,0.2
Massachusetts,507554,0.1
New Hampshire,231108,0.1
Alaska,72955,0
Rhode Island,64241,0
